seed,method,weights,fdp,power,nsel,test_positive_rate,cal_positive_rate,mean_cal_weight,max_cal_weight
262,WCS.dtm,oracle weights,0.0,0.0,0,0.77,0.365,1.052367351605507,46.733860946245194
262,WBH,ignore shift,0.1320754716981132,0.9558441558441558,424,0.77,0.365,1.0,1.0
262,WCS.hete,ignore shift,0.1320754716981132,0.9558441558441558,424,0.77,0.365,1.0,1.0
262,WCS.homo,ignore shift,0.1320754716981132,0.9558441558441558,424,0.77,0.365,1.0,1.0
262,WCS.dtm,ignore shift,0.0,0.0,0,0.77,0.365,1.0,1.0
262,WBH,clip weights at 3,0.10054347826086957,0.8597402597402597,368,0.77,0.365,0.6964309137169034,3.0
262,WCS.hete,clip weights at 3,0.10054347826086957,0.8597402597402597,368,0.77,0.365,0.6964309137169034,3.0
262,WCS.homo,clip weights at 3,0.1008174386920981,0.8571428571428571,367,0.77,0.365,0.6964309137169034,3.0
262,WCS.dtm,clip weights at 3,0.0,0.0,0,0.77,0.365,0.6964309137169034,3.0
263,WBH,oracle weights,0.0,0.0,0,0.74,0.3275,0.922288364669692,21.500816987080363
263,WCS.hete,oracle weights,0.03773584905660377,0.2756756756756757,106,0.74,0.3275,0.922288364669692,21.500816987080363
263,WCS.homo,oracle weights,0.0,0.0,0,0.74,0.3275,0.922288364669692,21.500816987080363
263,WCS.dtm,oracle weights,0.0,0.0,0,0.74,0.3275,0.922288364669692,21.500816987080363
263,WBH,ignore shift,0.15308641975308643,0.927027027027027,405,0.74,0.3275,1.0,1.0
263,WCS.hete,ignore shift,0.15308641975308643,0.927027027027027,405,0.74,0.3275,1.0,1.0
263,WCS.homo,ignore shift,0.15308641975308643,0.927027027027027,405,0.74,0.3275,1.0,1.0
263,WCS.dtm,ignore shift,0.0,0.0,0,0.74,0.3275,1.0,1.0
263,WBH,clip weights at 3,0.0707070707070707,0.745945945945946,297,0.74,0.3275,0.6847699792315372,3.0
263,WCS.hete,clip weights at 3,0.07094594594594594,0.7432432432432432,296,0.74,0.3275,0.6847699792315372,3.0
263,WCS.homo,clip weights at 3,0.07094594594594594,0.7432432432432432,296,0.74,0.3275,0.6847699792315372,3.0
263,WCS.dtm,clip weights at 3,0.0,0.0,0,0.74,0.3275,0.6847699792315372,3.0
264,WBH,oracle weights,0.09467455621301775,0.7846153846153846,338,0.78,0.34,0.9811088707506034,21.203181487613264
264,WCS.hete,oracle weights,0.15,0.26153846153846155,120,0.78,0.34,0.9811088707506034,21.203181487613264
264,WCS.homo,oracle weights,0.0935672514619883,0.7948717948717948,342,0.78,0.34,0.9811088707506034,21.203181487613264
264,WCS.dtm,oracle weights,0.0,0.0,0,0.78,0.34,0.9811088707506034,21.203181487613264
264,WBH,ignore shift,0.12796208530805686,0.9435897435897436,422,0.78,0.34,1.0,1.0
264,WCS.hete,ignore shift,0.12796208530805686,0.9435897435897436,422,0.78,0.34,1.0,1.0
264,WCS.homo,ignore shift,0.12796208530805686,0.9435897435897436,422,0.78,0.34,1.0,1.0
264,WCS.dtm,ignore shift,0.0,0.0,0,0.78,0.34,1.0,1.0
264,WBH,clip weights at 3,0.08656716417910448,0.7846153846153846,335,0.78,0.34,0.7089688826386196,3.0
264,WCS.hete,clip weights at 3,0.08708708708708708,0.7794871794871795,333,0.78,0.34,0.7089688826386196,3.0
264,WCS.homo,clip weights at 3,0.08734939759036145,0.7769230769230769,332,0.78,0.34,0.7089688826386196,3.0
264,WCS.dtm,clip weights at 3,0.0,0.0,0,0.78,0.34,0.7089688826386196,3.0
265,WBH,oracle weights,0.055762081784386616,0.6631853785900783,269,0.766,0.33625,0.9070367769856463,33.12642447982009
265,WCS.hete,oracle weights,0.058577405857740586,0.587467362924282,239,0.766,0.33625,0.9070367769856463,33.12642447982009
265,WCS.homo,oracle weights,0.055762081784386616,0.6631853785900783,269,0.766,0.33625,0.9070367769856463,33.12642447982009
265,WCS.dtm,oracle weights,0.0,0.0,0,0.766,0.33625,0.9070367769856463,33.12642447982009
265,WBH,ignore shift,0.11508951406649616,0.9033942558746736,391,0.766,0.33625,1.0,1.0
265,WCS.hete,ignore shift,0.11508951406649616,0.9033942558746736,391,0.766,0.33625,1.0,1.0
265,WCS.homo,ignore shift,0.11508951406649616,0.9033942558746736,391,0.766,0.33625,1.0,1.0
265,WCS.dtm,ignore shift,0.0,0.0,0,0.766,0.33625,1.0,1.0
265,WBH,clip weights at 3,0.053763440860215055,0.6892950391644909,279,0.766,0.33625,0.7001821026725814,3.0
265,WCS.hete,clip weights at 3,0.053763440860215055,0.6892950391644909,279,0.766,0.33625,0.7001821026725814,3.0
265,WCS.homo,clip weights at 3,0.053763440860215055,0.6892950391644909,279,0.766,0.33625,0.7001821026725814,3.0
265,WCS.dtm,clip weights at 3,0.0,0.0,0,0.766,0.33625,0.7001821026725814,3.0
266,WBH,oracle weights,0.15186915887850466,0.9260204081632653,428,0.784,0.345,1.0970781543389345,74.02629756454142
266,WCS.hete,oracle weights,0.15384615384615385,0.9260204081632653,429,0.784,0.345,1.0970781543389345,74.02629756454142
266,WCS.homo,oracle weights,0.1527777777777778,0.9336734693877551,432,0.784,0.345,1.0970781543389345,74.02629756454142
266,WCS.dtm,oracle weights,0.0,0.0,0,0.784,0.345,1.0970781543389345,74.02629756454142
266,WBH,ignore shift,0.1583710407239819,0.9489795918367347,442,0.784,0.345,1.0,1.0
266,WCS.hete,ignore shift,0.1583710407239819,0.9489795918367347,442,0.784,0.345,1.0,1.0
266,WCS.homo,ignore shift,0.1583710407239819,0.9489795918367347,442,0.784,0.345,1.0,1.0
266,WCS.dtm,ignore shift,0.0,0.0,0,0.784,0.345,1.0,1.0
266,WBH,clip weights at 3,0.12562814070351758,0.8877551020408163,398,0.784,0.345,0.6738567479702582,3.0
266,WCS.hete,clip weights at 3,0.12562814070351758,0.8877551020408163,398,0.784,0.345,0.6738567479702582,3.0
266,WCS.homo,clip weights at 3,0.12562814070351758,0.8877551020408163,398,0.784,0.345,0.6738567479702582,3.0
266,WCS.dtm,clip weights at 3,0.0,0.0,0,0.784,0.345,0.6738567479702582,3.0
267,WBH,oracle weights,0.11634349030470914,0.848404255319149,361,0.752,0.365,0.9222273112483595,26.857088815640456
267,WCS.hete,oracle weights,0.11730205278592376,0.800531914893617,341,0.752,0.365,0.9222273112483595,26.857088815640456
267,WCS.homo,oracle weights,0.11621621621621622,0.8696808510638298,370,0.752,0.365,0.9222273112483595,26.857088815640456
267,WCS.dtm,oracle weights,0.0,0.0,0,0.752,0.365,0.9222273112483595,26.857088815640456
267,WBH,ignore shift,0.15,0.949468085106383,420,0.752,0.365,1.0,1.0
267,WCS.hete,ignore shift,0.15201900237529692,0.949468085106383,421,0.752,0.365,1.0,1.0
267,WCS.homo,ignore shift,0.15035799522673032,0.9468085106382979,419,0.752,0.365,1.0,1.0
267,WCS.dtm,ignore shift,0.0,0.0,0,0.752,0.365,1.0,1.0
267,WBH,clip weights at 3,0.09418282548476455,0.8696808510638298,361,0.752,0.365,0.6999255357161707,3.0
267,WCS.hete,clip weights at 3,0.09418282548476455,0.8696808510638298,361,0.752,0.365,0.6999255357161707,3.0
267,WCS.homo,clip weights at 3,0.09418282548476455,0.8696808510638298,361,0.752,0.365,0.6999255357161707,3.0
267,WCS.dtm,clip weights at 3,0.0,0.0,0,0.752,0.365,0.6999255357161707,3.0
268,WBH,oracle weights,0.046153846153846156,0.7969151670951157,325,0.778,0.36875,1.030777729130978,32.56457347226948
268,WCS.hete,oracle weights,0.041666666666666664,0.7095115681233933,288,0.778,0.36875,1.030777729130978,32.56457347226948
268,WCS.homo,oracle weights,0.046012269938650305,0.7994858611825193,326,0.778,0.36875,1.030777729130978,32.56457347226948
268,WCS.dtm,oracle weights,0.0,0.0,0,0.778,0.36875,1.030777729130978,32.56457347226948
